shape,dtype,config,latency_us,status
"(8, 64)",float16,"(8, 64)",2.5100,OK
"(8, 128)",float16,"(8, 128)",1.2833,OK
"(8, 2048)",float16,"(8, 256)",2.5854,OK
"(8, 127)",float16,"(8, 127)",1.4094,OK
"(16, 255)",float16,"(16, 255)",1.4760,OK
"(32, 1025)",float16,"(32, 256)",2.8434,OK
"(1024, 10240)",float16,"(256, 256)",16.8006,OK
"(1024, 14336)",float16,"(256, 256)",19.8384,OK
"(1024, 18432)",float16,"(256, 256)",23.2925,OK
"(1024, 22528)",float16,"(256, 256)",27.2931,OK
"(8, 64)",float32,"(8, 64)",1.2981,OK
"(8, 128)",float32,"(8, 128)",1.3400,OK
"(8, 2048)",float32,"(8, 256)",2.6467,OK
"(8, 127)",float32,"(8, 127)",1.5234,OK
"(16, 255)",float32,"(16, 255)",1.7680,OK
"(32, 1025)",float32,"(32, 256)",3.2315,OK
"(1024, 10240)",float32,"(256, 256)",ERROR,ERROR
"(1024, 14336)",float32,"(256, 256)",ERROR,ERROR
"(1024, 18432)",float32,"(256, 256)",ERROR,ERROR
"(1024, 22528)",float32,"(256, 256)",ERROR,ERROR
